"country","avg_sentiment","hashtag"
"Cambodia",-0.110815227414422,"#Trump"
"Cameroon",-0.0584062991193376,"#Trump"
"Canada",-0.0372250669171232,"#Trump"
"Cape Verde",-0.165973984067272,"#Trump"
"Cayman Islands",-0.111987609853012,"#Trump"
"Chile",-0.0365027883051904,"#Trump"
"China",-0.0854020074905395,"#Trump"
"Colombia",-0.0314895004266855,"#Trump"
"Congo",-0.101748028992779,"#Trump"
"Congo-Brazzaville",0.00888229816776666,"#Trump"
"Costa Rica",-0.0232098891065617,"#Trump"
"Croatia",-0.0287274482564184,"#Trump"
"Cuba",-0.017210109168726,"#Trump"
"Cyprus",-0.0252734538844755,"#Trump"
"Czech Republic",0.0155191399755057,"#Trump"
"Côte d'Ivoire",0.0165866226704286,"#Trump"
"Democratic Republic of the Congo",-0.0114985598327833,"#Trump"
"Denmark",-0.0241627274702014,"#Trump"
"Djibouti",-0.0756545834233061,"#Trump"
"Dominica",0.00334457125971513,"#Trump"
"Dominican Republic",-0.0155198470657956,"#Trump"
"Ecuador",-0.0181896899322069,"#Trump"
"Egypt",-0.00757330923310501,"#Trump"
"El Salvador",-0.0237963045910693,"#Trump"
"England",0,"#Trump"
"Estonia",1.81939308465644e-06,"#Trump"
"Ethiopia",-0.0450354492830625,"#Trump"
"Falkland Islands",-0.0525731618638511,"#Trump"
"Faroe Islands",0.0975665901731064,"#Trump"
"Federated States of Micronesia",0.0748232216883678,"#Trump"
"Fiji",-0.070720547884386,"#Trump"
"Finland",-0.0254443005214048,"#Trump"
"Florida",0,"#Trump"
"France",-0.025830114891271,"#Trump"
"Gabon",-0.119739742145629,"#Trump"
"Georgia",-0.028154339130568,"#Trump"
"Germany",-0.0618552661175919,"#Trump"
"Ghana",0.0249502879625093,"#Trump"
"Gibraltar",0.0526056850492293,"#Trump"
"Greece",-0.0378640437886705,"#Trump"
"Greenland",-0.0685260740290019,"#Trump"
"Grenada",0.0313914817291523,"#Trump"
"Guatemala",-0.0281482999697398,"#Trump"
"Guinea",-0.0268397301689717,"#Trump"
"Guyana",-0.0270028432187348,"#Trump"
"Haiti",-0.0234810253185782,"#Trump"
"Honduras",-0.0224408581265067,"#Trump"
"Hong Kong",-0.00936518772785514,"#Trump"
"Hungary",-0.00553841352015947,"#Trump"
"Iceland",-0.0770322854211812,"#Trump"
"India",0.0118722706128492,"#Trump"
"Indonesia",-0.0133668900160344,"#Trump"
"Iran",-0.0267792909523703,"#Trump"
"Iraq",-0.00880778546125391,"#Trump"
"Ireland",-0.0306568889381199,"#Trump"
"Isle of Man",-0.234444224512919,"#Trump"
"Israel",-0.00675489010729996,"#Trump"
"Italy",-0.024768535731913,"#Trump"
"Jamaika",0.0278341365791246,"#Trump"
"Japan",-0.014366429402525,"#Trump"
"Jersey",-0.0555971991870484,"#Trump"
"Jordan",0.000145968619308331,"#Trump"
"Kazakhstan",-0.0162346941981145,"#Trump"
"Kenya",0.0153802978601187,"#Trump"
"Kiribati",0.0599754066928427,"#Trump"
"Kosovo",0.0409585806272094,"#Trump"
"Kuwait",-0.00653054271879114,"#Trump"
"Laos",-0.0818249638170897,"#Trump"
"Latvia",0.0293917418558379,"#Trump"
"Lebanon",-0.0227079562425195,"#Trump"
"Liberia",-0.0504375958155903,"#Trump"
"Libya",0.00237418020191504,"#Trump"
"Liechtenstein",-0.0662598635624574,"#Trump"
